Sample,Percent_in_exons,Percent_near_exons,Percent_off_target_exons,,,,,,,,,
capture13_b7,0.46,0.11,0.44,,,,,,,,,
capture13_g1,0.45,0.11,0.44,,,,,,,,,
capture13_g5,0.49,0.10,0.42,,,,,,,,,
capture13_g6,0.50,0.10,0.41,,,,,,,,,
capture13_g7,0.49,0.10,0.41,,,,,,,,,
capture13_g8,0.50,0.09,0.41,,,,,,,,,
capture13_k1,0.48,0.10,0.41,,,,,,,,,
capture13_k2,0.40,0.11,0.49,,,,,,,,,
capture13_k3,0.48,0.10,0.42,,,,,,,,,
capture13_k5,0.46,0.11,0.43,,,,,,,,,
capture13_k8,0.38,0.11,0.51,,,,,,,,,
capture13_m1,0.46,0.11,0.43,,,,,,,,,
capture13_m3,0.48,0.11,0.41,,,,,,,,,
capture13_m5,0.45,0.11,0.45,,,,,,,,,
capture13_m7,0.49,0.10,0.41,,,,,,,,,
capture13_m9,0.49,0.10,0.41,,,,,,,,,
capture13_n1,0.51,0.10,0.39,,,,,,,,,
capture13_n2,0.49,0.10,0.41,,,,,,,,,
capture13_n3,0.50,0.10,0.40,,,,,,,,,
capture13_n4,0.48,0.10,0.42,,,,,,,,,
capture13_n5,0.49,0.10,0.41,,,,,,,,,
capture16_b10,0.47,0.11,0.42,,,,,,,,,
capture16_b1,0.52,0.10,0.38,,,,,,,,,
capture16_b2,0.38,0.11,0.51,,,,,,,,,
capture16_b6,0.38,0.11,0.51,,,,,,,,,
capture16_b7,0.46,0.11,0.43,,,,,,,,,
capture16_g1,0.47,0.11,0.43,,,,,,,,,
capture16_g5,0.50,0.10,0.40,,,,,,,,,
capture16_g6,0.51,0.10,0.40,,,,,,,,,
capture16_g7,0.49,0.10,0.41,,,,,,,,,
capture16_g8,0.51,0.09,0.40,,,,,,,,,
capture16_k1,0.49,0.11,0.40,,,,,,,,,
capture16_k2,0.41,0.11,0.48,,,,,,,,,
capture16_k3,0.49,0.10,0.40,,,,,,,,,
capture16_k5,0.46,0.11,0.43,,,,,,,,,
capture16_k8,0.39,0.11,0.50,,,,,,,,,
capture16_m1,0.47,0.10,0.43,,,,,,,,,
capture16_m3,0.50,0.11,0.40,,,,,,,,,
capture16_m5,0.46,0.11,0.44,,,,,,,,,
capture16_m7,0.50,0.11,0.40,,,,,,,,,
capture16_m9,0.50,0.11,0.40,,,,,,,,,
capture16_n1,0.51,0.11,0.39,,,,,,,,,
capture16_n2,0.50,0.10,0.40,,,,,,,,,
capture16_n3,0.51,0.10,0.39,,,,,,,,,
capture16_n4,0.49,0.11,0.40,,,,,,,,,
capture16_n5,0.50,0.10,0.40,,,,,,,,,
