Sample,Percent_in_exons,Percent_near_exons,Percent_off_target_exons,,,,,,,,,
capture1_b1,0.48,0.10,0.42,,,,,,,,,
capture1_b2,0.47,0.10,0.43,,,,,,,,,
capture1_g1,0.48,0.10,0.42,,,,,,,,,
capture1_g7,0.48,0.10,0.43,,,,,,,,,
capture1_k1,0.45,0.10,0.44,,,,,,,,,
capture1_k3,0.44,0.10,0.46,,,,,,,,,
capture1_m5,0.35,0.11,0.54,,,,,,,,,
capture1_m7,0.37,0.11,0.52,,,,,,,,,
capture1_n1,0.43,0.11,0.46,,,,,,,,,
capture1_n2,0.47,0.10,0.43,,,,,,,,,
capture4_b1,0.47,0.10,0.44,,,,,,,,,
capture4_b2,0.48,0.10,0.43,,,,,,,,,
capture4_g1,0.48,0.10,0.42,,,,,,,,,
capture4_g7,0.46,0.10,0.44,,,,,,,,,
capture4_k1,0.49,0.10,0.42,,,,,,,,,
capture4_k3,0.46,0.10,0.45,,,,,,,,,
capture4_m5,0.41,0.10,0.49,,,,,,,,,
capture4_m7,0.40,0.10,0.50,,,,,,,,,
capture4_n1,0.43,0.11,0.47,,,,,,,,,
capture4_n2,0.43,0.10,0.47,,,,,,,,,
capture7_b1,0.42,0.10,0.48,,,,,,,,,
capture7_b2,0.46,0.10,0.45,,,,,,,,,
capture7_g1,0.47,0.10,0.43,,,,,,,,,
capture7_g7,0.45,0.10,0.45,,,,,,,,,
capture7_k1,0.47,0.10,0.43,,,,,,,,,
capture7_k3,0.48,0.10,0.42,,,,,,,,,
capture7_m5,0.48,0.10,0.43,,,,,,,,,
capture7_m7,0.41,0.11,0.49,,,,,,,,,
capture7_n1,0.36,0.11,0.53,,,,,,,,,
capture7_n2,0.37,0.11,0.52,,,,,,,,,
capture10_b10,0.48,0.10,0.42,,,,,,,,,
capture10_b1,0.54,0.10,0.36,,,,,,,,,
capture10_b2,0.38,0.11,0.51,,,,,,,,,
capture10_b6,0.38,0.11,0.51,,,,,,,,,
capture10_b7,0.47,0.11,0.42,,,,,,,,,
capture10_g1,0.47,0.10,0.43,,,,,,,,,
capture10_g5,0.51,0.10,0.40,,,,,,,,,
capture10_g6,0.50,0.10,0.40,,,,,,,,,
capture10_g7,0.51,0.10,0.39,,,,,,,,,
capture10_g8,0.52,0.09,0.39,,,,,,,,,
capture10_k1,0.50,0.10,0.40,,,,,,,,,
capture10_k2,0.40,0.11,0.49,,,,,,,,,
capture10_k3,0.51,0.10,0.40,,,,,,,,,
capture10_k5,0.45,0.11,0.44,,,,,,,,,
capture10_k8,0.38,0.11,0.51,,,,,,,,,
capture10_m1,0.48,0.11,0.41,,,,,,,,,
capture10_m3,0.52,0.10,0.39,,,,,,,,,
capture10_m5,0.46,0.11,0.43,,,,,,,,,
capture10_m7,0.52,0.09,0.38,,,,,,,,,
capture10_m9,0.51,0.10,0.39,,,,,,,,,
capture10_n1,0.52,0.10,0.38,,,,,,,,,
capture10_n2,0.50,0.10,0.40,,,,,,,,,
capture10_n3,0.52,0.10,0.38,,,,,,,,,
capture10_n4,0.49,0.10,0.41,,,,,,,,,
capture10_n5,0.51,0.10,0.39,,,,,,,,,
capture13_b10,0.46,0.10,0.43,,,,,,,,,
capture13_b1,0.51,0.10,0.39,,,,,,,,,
capture13_b2,0.39,0.11,0.50,,,,,,,,,
capture13_b6,0.38,0.11,0.51,,,,,,,,,
