Sample,Percent_in_exons,Percent_near_exons,Percent_off_target_exons,Percent_on_target2X,Percent_near_target2X,Percent_off_target2X,Percent_on_target7X,Percent_near_target7X,Percent_off_target7X,Percent_on_target12X,Percent_near_target12X,Percent_off_target12X
capture1_b1,0.48,0.1,0.42,0.47,0.14,0.4,0.46,0.14,0.4,0.46,0.13,0.41
capture1_b2,0.47,0.1,0.43,0.46,0.14,0.4,0.46,0.14,0.41,0.45,0.14,0.42
capture1_g1,0.48,0.1,0.42,0.47,0.14,0.4,0.46,0.14,0.4,0.46,0.13,0.41
capture1_g7,0.48,0.1,0.43,0.47,0.14,0.39,0.47,0.14,0.4,0.46,0.14,0.41
capture1_k1,0.45,0.1,0.44,0.44,0.15,0.41,0.44,0.14,0.42,0.43,0.14,0.43
capture1_k3,0.44,0.1,0.46,0.43,0.15,0.42,0.43,0.15,0.42,0.42,0.15,0.44
capture1_m5,0.35,0.11,0.54,0.35,0.17,0.49,0.34,0.16,0.5,0.33,0.16,0.51
capture1_m7,0.37,0.11,0.52,0.37,0.16,0.47,0.36,0.16,0.48,0.36,0.15,0.49
capture1_n1,0.43,0.11,0.46,0.42,0.15,0.43,0.42,0.15,0.43,0.41,0.15,0.44
capture1_n2,0.47,0.1,0.43,0.46,0.15,0.4,0.46,0.14,0.4,0.45,0.14,0.41
capture4_b1,0.47,0.1,0.44,0.46,0.14,0.4,0.46,0.14,0.41,0.45,0.13,0.42
capture4_b2,0.48,0.1,0.43,0.47,0.14,0.39,0.47,0.14,0.4,0.46,0.13,0.41
capture4_g1,0.48,0.1,0.42,0.47,0.14,0.39,0.47,0.13,0.4,0.46,0.13,0.41
capture4_g7,0.46,0.1,0.44,0.46,0.14,0.4,0.45,0.14,0.41,0.45,0.14,0.42
capture4_k1,0.49,0.1,0.42,0.48,0.14,0.38,0.47,0.14,0.39,0.47,0.14,0.4
capture4_k3,0.46,0.1,0.45,0.45,0.15,0.4,0.45,0.14,0.41,0.44,0.14,0.42
capture4_m5,0.41,0.1,0.49,0.41,0.15,0.44,0.4,0.15,0.45,0.4,0.14,0.46
capture4_m7,0.4,0.1,0.5,0.39,0.15,0.45,0.39,0.15,0.46,0.38,0.15,0.47
capture4_n1,0.43,0.11,0.47,0.42,0.15,0.43,0.42,0.15,0.43,0.41,0.15,0.44
capture4_n2,0.43,0.1,0.47,0.43,0.15,0.42,0.43,0.15,0.43,0.42,0.14,0.44
capture7_b1,0.42,0.1,0.48,0.41,0.15,0.44,0.41,0.15,0.45,0.4,0.14,0.46
capture7_b2,0.46,0.1,0.45,0.45,0.14,0.41,0.45,0.14,0.41,0.44,0.14,0.42
capture7_g1,0.47,0.1,0.43,0.46,0.15,0.39,0.46,0.14,0.4,0.45,0.14,0.41
capture7_g7,0.45,0.1,0.45,0.44,0.14,0.42,0.44,0.14,0.43,0.43,0.13,0.44
capture7_k1,0.47,0.1,0.43,0.47,0.14,0.39,0.46,0.14,0.39,0.46,0.14,0.4
capture7_k3,0.48,0.1,0.42,0.48,0.14,0.38,0.47,0.14,0.39,0.47,0.14,0.4
capture7_m5,0.48,0.1,0.43,0.47,0.14,0.39,0.46,0.14,0.4,0.46,0.14,0.41
capture7_m7,0.41,0.11,0.49,0.4,0.16,0.44,0.4,0.15,0.45,0.39,0.15,0.46
capture7_n1,0.36,0.11,0.53,0.36,0.17,0.48,0.36,0.16,0.48,0.35,0.16,0.5
capture7_n2,0.37,0.11,0.52,0.37,0.17,0.47,0.36,0.16,0.48,0.35,0.16,0.49
capture10_b10,0.48,0.1,0.42,0.47,0.15,0.39,0.47,0.14,0.39,0.46,0.14,0.4
capture10_b1,0.54,0.1,0.36,0.52,0.14,0.34,0.52,0.13,0.35,0.51,0.13,0.36
capture10_b2,0.38,0.11,0.51,0.38,0.17,0.46,0.37,0.16,0.47,0.36,0.16,0.48
capture10_b6,0.38,0.11,0.51,0.37,0.17,0.46,0.37,0.17,0.47,0.36,0.16,0.48
capture10_b7,0.47,0.11,0.42,0.46,0.15,0.39,0.46,0.15,0.4,0.45,0.14,0.41
capture10_g1,0.47,0.1,0.43,0.46,0.15,0.4,0.45,0.14,0.4,0.45,0.14,0.41
capture10_g5,0.51,0.1,0.4,0.5,0.14,0.37,0.5,0.14,0.37,0.49,0.13,0.38
capture10_g6,0.5,0.1,0.4,0.49,0.14,0.38,0.48,0.13,0.38,0.48,0.13,0.39
capture10_g7,0.51,0.1,0.39,0.5,0.14,0.36,0.5,0.14,0.36,0.49,0.14,0.37
capture10_g8,0.52,0.09,0.39,0.51,0.13,0.36,0.51,0.13,0.37,0.5,0.12,0.38
