Pool	Percent_in_Exons	Percent_Near_Exons	Percent_Off_Target_Exons	Percent_on_Target2X	PErcent_Near_Target2X	PercentOff_Target2X	Percent_on_Target7X	Percent_Near_Target7X	PercentOff_Target7X	Percent_on_Target12X	Percent_Near_Target12X	PercentOff_Target12X
capture13_g5	48.7%	9.7%	41.5%		48.1%	9.5%	42.4%		47.8%	9.3%	42.8%		47.2%	9.1%	43.7%	
capture13_g6	49.7%	9.6%	40.6%		48.7%	9.2%	42.1%		48.4%	9.0%	42.6%		47.7%	8.8%	43.5%	
capture13_g7	48.8%	10.0%	41.2%		48.3%	9.8%	41.9%		47.9%	9.7%	42.4%		47.3%	9.4%	43.3%	
capture13_g8	50.0%	9.2%	40.8%		49.3%	8.9%	41.8%		49.0%	8.7%	42.3%		48.4%	8.5%	43.1%	
capture13_k1	48.4%	10.4%	41.2%		47.7%	10.1%	42.2%		47.3%	10.0%	42.8%		46.6%	9.7%	43.7%	
capture13_k2	40.2%	11.1%	48.7%		39.8%	10.9%	49.3%		39.3%	10.7%	50.0%		38.5%	10.4%	51.1%	
capture13_k3	48.1%	10.1%	41.8%		47.6%	9.9%	42.4%		47.3%	9.8%	42.9%		46.7%	9.5%	43.8%	
capture13_k5	45.9%	10.7%	43.4%		45.3%	10.5%	44.2%		44.9%	10.3%	44.8%		44.2%	10.0%	45.8%	
capture13_k8	38.4%	11.0%	50.6%		38.1%	10.8%	51.1%		37.6%	10.6%	51.8%		36.7%	10.3%	53.0%	
capture13_m1	46.2%	10.7%	43.1%		45.6%	10.4%	44.0%		45.3%	10.2%	44.5%		44.6%	10.0%	45.5%	
capture13_m3	48.3%	10.5%	41.2%		47.7%	10.2%	42.1%		47.4%	10.1%	42.6%		46.7%	9.8%	43.4%	
capture13_m5	44.8%	10.6%	44.5%		44.1%	10.3%	45.5%		43.7%	10.2%	46.1%		43.0%	9.9%	47.1%	
capture13_m7	48.9%	10.4%	40.7%		47.9%	9.9%	42.2%		47.5%	9.8%	42.7%		46.8%	9.6%	43.6%	
capture13_m9	49.4%	9.9%	40.8%		48.8%	9.6%	41.6%		48.4%	9.4%	42.2%		47.8%	9.2%	43.0%	
capture13_n1	50.5%	10.1%	39.4%		49.7%	9.7%	40.6%		49.3%	9.6%	41.1%		48.7%	9.3%	42.0%	
capture13_n2	49.2%	10.0%	40.8%		48.7%	9.8%	41.5%		48.4%	9.7%	41.9%		47.8%	9.4%	42.8%	
capture13_n3	49.5%	10.2%	40.3%		49.0%	9.9%	41.1%		48.6%	9.8%	41.6%		48.0%	9.6%	42.4%	
capture13_n4	47.7%	10.1%	42.1%		47.2%	9.9%	42.9%		46.8%	9.7%	43.5%		46.2%	9.5%	44.4%	
capture13_n5	48.8%	10.1%	41.1%		48.2%	9.8%	42.0%		47.8%	9.6%	42.5%		47.1%	9.4%	43.4%	
capture16_b10	47.4%	10.6%	42.0%		46.8%	10.3%	42.9%		46.4%	10.1%	43.5%		45.7%	9.9%	44.4%	
capture16_b1	51.6%	10.0%	38.4%		50.6%	9.4%	40.0%		50.2%	9.3%	40.5%		49.6%	9.1%	41.3%	
capture16_b2	38.4%	11.1%	50.5%		38.1%	11.0%	51.0%		37.6%	10.8%	51.6%		36.8%	10.4%	52.8%	
capture16_b6	37.8%	11.3%	51.0%		37.5%	11.1%	51.4%		37.0%	10.9%	52.1%		36.1%	10.6%	53.3%	
capture16_b7	46.4%	10.9%	42.7%		45.8%	10.6%	43.6%		45.3%	10.5%	44.2%		44.6%	10.2%	45.2%	
capture16_g1	46.6%	10.6%	42.8%		46.1%	10.4%	43.6%		45.7%	10.2%	44.1%		45.0%	10.0%	45.0%	
capture16_g5	49.7%	10.0%	40.3%		49.2%	9.7%	41.1%		48.9%	9.6%	41.5%		48.3%	9.4%	42.4%	
capture16_g6	50.6%	9.9%	39.5%		49.7%	9.5%	40.8%		49.3%	9.3%	41.3%		48.7%	9.1%	42.2%	
capture16_g7	48.9%	10.0%	41.1%		47.7%	9.4%	42.9%		47.4%	9.2%	43.4%		46.7%	9.0%	44.2%	
capture16_g8	50.9%	9.3%	39.9%		50.3%	9.0%	40.7%		49.9%	8.9%	41.2%		49.3%	8.7%	42.0%	
capture16_k1	49.0%	10.7%	40.3%		48.4%	10.4%	41.2%		48.0%	10.3%	41.8%		47.3%	10.0%	42.7%	
capture16_k2	40.6%	11.3%	48.2%		40.2%	11.1%	48.7%		39.8%	10.9%	49.4%		38.9%	10.6%	50.5%	
capture16_k3	49.4%	10.4%	40.1%		49.0%	10.2%	40.7%		48.7%	10.1%	41.2%		48.1%	9.9%	42.1%	
capture16_k5	46.0%	10.9%	43.1%		45.6%	10.7%	43.8%		45.1%	10.5%	44.4%		44.4%	10.2%	45.3%	
capture16_k8	38.6%	11.1%	50.3%		38.2%	11.0%	50.8%		37.8%	10.8%	51.5%		36.9%	10.4%	52.7%	
capture16_m1	47.3%	10.0%	42.7%		46.7%	9.6%	43.7%		46.3%	9.5%	44.2%		45.7%	9.2%	45.1%	
capture16_m3	49.5%	10.7%	39.8%		48.9%	10.5%	40.6%		48.6%	10.3%	41.0%		48.0%	10.1%	41.9%	
capture16_m5	45.5%	10.9%	43.6%		44.9%	10.6%	44.5%		44.5%	10.4%	45.1%		43.8%	10.1%	46.1%	
capture16_m7	49.5%	10.8%	39.7%		48.6%	10.4%	41.0%		48.2%	10.2%	41.6%		47.5%	10.0%	42.5%	
capture16_m9	49.5%	10.5%	40.1%		49.0%	10.2%	40.8%		48.6%	10.1%	41.4%		47.9%	9.8%	42.2%	
capture16_n1	50.7%	10.6%	38.7%		50.0%	10.3%	39.8%		49.6%	10.1%	40.2%		49.0%	9.9%	41.1%	
capture16_n2	50.1%	10.2%	39.6%		49.7%	10.0%	40.2%		49.4%	9.9%	40.7%		48.8%	9.7%	41.5%	
capture16_n3	50.7%	10.4%	38.9%		50.2%	10.2%	39.6%		49.8%	10.0%	40.1%		49.2%	9.8%	41.0%	
capture16_n4	49.1%	10.5%	40.4%		48.6%	10.3%	41.1%		48.3%	10.1%	41.6%		47.6%	9.9%	42.5%	
capture16_n5	50.1%	10.4%	39.6%		49.5%	10.1%	40.4%		49.1%	10.0%	40.9%		48.4%	9.8%	41.8%	
capture1_b1	47.8%	9.9%	42.3%		46.5%	9.4%	44.1%		46.2%	9.2%	44.6%		45.6%	9.0%	45.4%	
capture1_b2	46.8%	10.0%	43.2%		45.9%	9.6%	44.5%		45.5%	9.4%	45.1%		44.9%	9.2%	45.9%	
